dataset,method,l1,experiment,status,source,ours_nDCG@10,paper_nDCG@10,diff_nDCG@10,ours_nDCG@20,paper_nDCG@20,diff_nDCG@20,ours_R@1000,paper_R@1000,diff_R@1000
Core18,DyVo (LaQue),1e-5,qmlp_dmlm_emlm_laque_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_laquecand,not run,,,40.24,,,38.39,,,64.83,
CODEC,DyVo (GPT4) Token Aggr.,1e-5,qmlp_dmlm_emlm_bert_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,53.44,,,50.39,,,69.94,
CODEC,DyVo (GPT4) DPR,1e-5,qmlp_dmlm_emlm_dpr_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,53.04,,,49.18,,,75.19,
CODEC,DyVo (GPT4) JDS,1e-5,qmlp_dmlm_emlm_jds_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,55.08,,,50.93,,,73.97,
CODEC,DyVo (GPT4) Wiki2Vec,1e-5,qmlp_dmlm_emlm_wiki2vec_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,56.30,,,53.25,,,73.03,
CODEC,DyVo (GPT4) BLINK,1e-5,qmlp_dmlm_emlm_blink_codec_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,58.15,,,54.83,,,74.72,
Robust04,DyVo (GPT4) Token Aggr.,1e-5,qmlp_dmlm_emlm_bert_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,51.35,,,48.01,,,67.46,
Robust04,DyVo (GPT4) DPR,1e-5,qmlp_dmlm_emlm_dpr_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,48.68,,,45.77,,,75.21,
Robust04,DyVo (GPT4) JDS,1e-5,qmlp_dmlm_emlm_jds_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,51.21,,,48.38,,,73.79,
Robust04,DyVo (GPT4) Wiki2Vec,1e-5,qmlp_dmlm_emlm_wiki2vec_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,54.04,,,50.21,,,69.85,
Robust04,DyVo (GPT4) BLINK,1e-5,qmlp_dmlm_emlm_blink_robust04_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,55.56,,,51.71,,,71.81,
Core18,DyVo (GPT4) Token Aggr.,1e-5,qmlp_dmlm_emlm_bert_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,41.63,,,39.37,,,64.01,
Core18,DyVo (GPT4) DPR,1e-5,qmlp_dmlm_emlm_dpr_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,40.26,,,37.52,,,70.81,
Core18,DyVo (GPT4) JDS,1e-5,qmlp_dmlm_emlm_jds_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,44.29,,,41.86,,,70.16,
Core18,DyVo (GPT4) Wiki2Vec,1e-5,qmlp_dmlm_emlm_wiki2vec_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,44.15,,,43.13,,,67.77,
Core18,DyVo (GPT4) BLINK,1e-5,qmlp_dmlm_emlm_blink_wapo_msmarco_pretrained_inparsv2_monot53b_distillation_l1_0.0_0.00001_entw_0.05_gpt4,not run,,,44.63,,,42.94,,,69.11,
