0/4530030 lines, 0 entities
500000/4530030 lines, 238944 entities
1000000/4530030 lines, 541287 entities
1500000/4530030 lines, 867897 entities
2000000/4530030 lines, 1194092 entities
2500000/4530030 lines, 1511434 entities
3000000/4530030 lines, 1814658 entities
3500000/4530030 lines, 2157381 entities
4000000/4530030 lines, 2474869 entities
4500000/4530030 lines, 2589054 entities
done: 2592608 entities, 400000 words, dim=100
